발주번호,수주번호,기자재명,공급사,발주일,납품예정일,실제납품일,납품지연일수,금액_백만원
EQ-2024-0071,MPO-2024-058,발전기,제일엔지니어링,2024-03-28,2024-07-03,2024-07-03,0,2067
EQ-2024-0002,MPO-2024-139,도료,제일엔지니어링,2024-06-04,2024-09-30,2024-11-12,43,1007
EQ-2024-0001,MPO-2024-139,밸러스트수 처리장치,서해정밀,2024-06-05,2024-09-07,2024-10-09,32,1584
EQ-2024-0005,MPO-2024-002,도료,대성중공업,2024-06-28,2024-09-21,2024-12-01,71,1983
EQ-2024-0003,MPO-2024-051,프로펠러,남광테크,2024-07-13,2024-10-08,2024-10-23,15,2126
EQ-2024-0004,MPO-2024-051,크레인,남광테크,2024-08-07,2024-11-27,2025-01-14,48,1889
EQ-2024-0098,MPO-2024-036,선실 모듈,대성중공업,2024-08-08,2025-01-07,2025-01-15,8,1956
EQ-2024-0099,MPO-2024-036,배관 모듈,남광테크,2024-08-17,2024-12-07,2024-12-07,0,1798
EQ-2024-0042,MPO-2024-077,밸러스트수 처리장치,서해정밀,2024-09-01,2024-12-03,2024-12-07,4,1273
EQ-2024-0009,MPO-2024-103,배관 모듈,제일엔지니어링,2024-09-16,2025-01-19,2025-02-10,22,436
EQ-2024-0007,MPO-2024-016,발전기,남광테크,2024-09-18,2025-01-07,2025-02-04,28,1207
EQ-2024-0059,MPO-2024-018,밸러스트수 처리장치,남광테크,2024-09-25,2025-01-31,2025-02-09,9,1953
EQ-2024-0060,MPO-2024-018,도료,오리엔트마린,2024-10-02,2025-02-10,2025-02-11,1,1988
EQ-2024-0008,MPO-2024-016,크레인,서해정밀,2024-10-15,2025-02-21,2025-03-26,33,948
EQ-2024-0010,MPO-2024-059,크레인,대성중공업,2024-10-18,2025-03-01,2025-05-08,68,1629
EQ-2024-0006,MPO-2024-030,배관 모듈,서해정밀,2024-10-21,2025-02-18,2025-04-20,61,257
EQ-2024-0094,MPO-2024-053,화물창 단열재,남광테크,2024-10-29,2025-01-25,2025-01-27,2,1898
EQ-2024-0064,MPO-2024-118,발전기,서해정밀,2024-10-30,2025-03-18,2025-03-18,0,1868
EQ-2024-0011,MPO-2024-033,프로펠러,오리엔트마린,2024-11-20,2025-03-15,2025-05-23,69,228
EQ-2024-0061,MPO-2024-006,도료,제일엔지니어링,2024-11-27,2025-03-12,2025-03-15,3,148
EQ-2024-0054,MPO-2024-135,배관 모듈,서해정밀,2024-12-02,2025-02-20,2025-02-22,2,856
EQ-2024-0012,MPO-2024-046,프로펠러,한빛기계,2024-12-03,2025-04-23,2025-05-16,23,563
EQ-2024-0062,MPO-2024-006,발전기,한빛기계,2024-12-03,2025-04-17,2025-04-17,0,1374
EQ-2024-0053,MPO-2024-135,프로펠러,제일엔지니어링,2024-12-07,2025-04-03,2025-04-11,8,961
EQ-2024-0057,MPO-2024-079,밸러스트수 처리장치,한빛기계,2024-12-26,2025-04-14,2025-04-22,8,1792
EQ-2024-0063,MPO-2024-062,선실 모듈,한빛기계,2024-12-26,2025-04-17,2025-04-23,6,2174
EQ-2024-0072,MPO-2024-073,크레인,한빛기계,2024-12-27,2025-03-20,2025-03-20,0,581
EQ-2024-0058,MPO-2024-079,화물창 단열재,남광테크,2024-12-28,2025-04-15,2025-04-23,8,2264
EQ-2024-0073,MPO-2024-073,배관 모듈,서해정밀,2024-12-28,2025-04-24,2025-04-25,1,1435
EQ-2024-0081,MPO-2024-074,크레인,한빛기계,2024-12-29,2025-04-28,2025-04-28,0,1315
EQ-2025-0082,MPO-2024-074,항해통신장비,한빛기계,2025-01-08,2025-04-02,2025-04-02,0,1953
EQ-2025-0014,MPO-2024-045,주기관,남광테크,2025-01-20,2025-04-20,2025-05-23,33,2014
EQ-2025-0016,MPO-2024-028,도료,오리엔트마린,2025-01-22,2025-05-07,2025-07-05,59,414
EQ-2025-0076,MPO-2024-050,항해통신장비,제일엔지니어링,2025-01-22,2025-06-07,2025-06-07,0,1177
EQ-2025-0106,MPO-2024-125,선실 모듈,한빛기계,2025-01-22,2025-04-14,2025-04-14,0,1316
EQ-2025-0107,MPO-2024-125,도료,제일엔지니어링,2025-01-31,2025-06-29,2025-06-29,0,811
EQ-2025-0017,MPO-2024-028,항해통신장비,남광테크,2025-02-03,2025-05-18,2025-06-04,17,960
EQ-2025-0047,MPO-2024-021,화물창 단열재,제일엔지니어링,2025-02-22,2025-07-31,2025-08-11,11,1039
EQ-2025-0015,MPO-2024-045,선실 모듈,서해정밀,2025-02-24,2025-06-08,2025-06-22,14,1415
EQ-2025-0019,MPO-2024-086,발전기,오리엔트마린,2025-03-10,2025-06-28,2025-07-20,22,2056
EQ-2025-0018,MPO-2024-086,밸러스트수 처리장치,대성중공업,2025-03-13,2025-08-14,2025-09-11,28,861
EQ-2025-0020,MPO-2024-023,프로펠러,오리엔트마린,2025-03-18,2025-06-24,2025-07-19,25,1036
EQ-2025-0046,MPO-2024-021,크레인,제일엔지니어링,2025-03-19,2025-06-12,2025-06-12,0,2042
EQ-2025-0022,MPO-2024-128,주기관,한빛기계,2025-03-27,2025-07-09,2025-07-25,16,955
EQ-2025-0087,MPO-2024-064,항해통신장비,남광테크,2025-03-29,2025-07-10,2025-07-10,0,610
EQ-2025-0024,MPO-2025-076,화물창 단열재,한빛기계,2025-04-07,2025-09-14,2025-10-11,27,1860
EQ-2025-0066,MPO-2024-024,도료,대성중공업,2025-04-15,2025-08-26,2025-09-04,9,1077
EQ-2025-0088,MPO-2024-064,항해통신장비,서해정밀,2025-04-15,2025-08-11,2025-08-15,4,2097
EQ-2025-0013,MPO-2024-038,항해통신장비,제일엔지니어링,2025-04-17,2025-06-30,2025-08-17,48,923
EQ-2025-0023,MPO-2024-128,밸러스트수 처리장치,오리엔트마린,2025-04-17,2025-07-15,2025-09-01,48,1386
EQ-2025-0021,MPO-2024-023,프로펠러,서해정밀,2025-04-18,2025-08-23,2025-11-06,75,1786
EQ-2025-0051,MPO-2024-020,발전기,한빛기계,2025-04-25,2025-07-19,2025-07-31,12,1129
EQ-2025-0050,MPO-2024-020,도료,서해정밀,2025-04-28,2025-07-21,2025-07-23,2,257
EQ-2025-0065,MPO-2024-024,화물창 단열재,오리엔트마린,2025-05-08,2025-09-03,2025-09-05,2,2277
EQ-2025-0097,MPO-2024-067,화물창 단열재,제일엔지니어링,2025-05-18,2025-10-18,2025-10-18,0,2000
EQ-2025-0025,MPO-2025-096,배관 모듈,한빛기계,2025-06-05,2025-08-21,2025-09-03,13,2367
EQ-2025-0096,MPO-2025-092,발전기,제일엔지니어링,2025-06-29,2025-10-14,2025-10-17,3,1984
