수주번호,선종,발주지역,선주사,재화중량톤_DWT,계약금액_백만원,건조야드,계약일,착공일,진수일,인도예정일,실제인도일,지연일수,지연사유
MPO-2024-058,컨테이너선,싱가포르,이스트게이트 쉬핑,16671,14630,해남 협력야드,2024-01-14,2024-03-15,2024-09-04,2024-11-11,2024-12-07,26,품질 재작업
MPO-2024-129,컨테이너선,싱가포르,북유럽 탱커스,22181,21060,영암 도크,2024-01-16,2024-04-25,2024-10-09,2024-12-14,2024-12-14,0,
MPO-2024-139,석유화학제품운반선,독일,이스트게이트 쉬핑,19456,17830,해남 협력야드,2024-01-17,2024-05-24,2024-10-22,2024-12-20,2024-12-25,5,기자재 납품 지연
MPO-2024-026,초대형원유운반선,덴마크,이스트게이트 쉬핑,282931,451320,목포 2야드,2024-01-21,2024-05-30,2025-02-19,2025-06-03,2025-06-03,0,
MPO-2024-063,초대형원유운반선,아랍에미리트,블루앵커 해운,293791,471430,해남 협력야드,2024-02-07,2024-06-16,2025-03-27,2025-07-16,2025-07-16,0,
MPO-2024-051,초대형원유운반선,대한민국,이스트게이트 쉬핑,300295,437850,목포 1야드,2024-02-21,2024-07-02,2025-03-23,2025-07-04,2025-07-09,5,기자재 납품 지연
MPO-2024-042,컨테이너선,덴마크,사우스케이프 마린,19496,16810,해남 협력야드,2024-02-23,2024-07-09,2024-12-05,2025-02-01,2025-02-01,0,
MPO-2024-017,LNG운반선,일본,북유럽 탱커스,152321,398570,영암 도크,2024-02-28,2024-06-07,2025-01-28,2025-04-30,2025-04-30,0,
MPO-2024-002,LNG운반선,중국,그린웨이브 마린,148709,356530,목포 1야드,2024-03-06,2024-06-13,2025-02-08,2025-05-13,2025-05-23,10,기자재 납품 지연
MPO-2024-080,초대형원유운반선,일본,이스트게이트 쉬핑,316652,489260,영암 도크,2024-03-19,2024-05-25,2025-03-31,2025-07-30,2025-07-30,0,
MPO-2024-077,벌크선,중국,노르드윈드 라인,128282,88860,영암 도크,2024-03-25,2024-08-21,2025-04-11,2025-07-11,2025-07-11,0,
MPO-2024-018,초대형원유운반선,일본,그린웨이브 마린,280761,436750,목포 1야드,2024-03-27,2024-08-24,2025-05-31,2025-09-17,2025-09-19,2,설계 변경
MPO-2024-120,석유화학제품운반선,대한민국,이스트게이트 쉬핑,36401,32240,영암 도크,2024-04-04,2024-06-12,2024-11-18,2025-01-19,2025-01-19,0,
MPO-2024-036,석유화학제품운반선,미국,노르드윈드 라인,30909,26510,목포 2야드,2024-04-07,2024-06-29,2024-12-04,2025-02-04,2025-02-04,0,
MPO-2024-055,초대형원유운반선,싱가포르,북유럽 탱커스,306973,388010,목포 2야드,2024-04-07,2024-06-08,2025-04-18,2025-08-19,2025-08-19,0,
MPO-2024-039,석유화학제품운반선,독일,퍼시픽 캐리어,33523,25990,목포 1야드,2024-04-14,2024-08-20,2025-02-26,2025-05-12,2025-05-30,18,인력 수급 차질
MPO-2024-072,LNG운반선,미국,한려 상선,170311,474730,목포 1야드,2024-04-17,2024-07-22,2025-04-02,2025-07-11,2025-07-11,0,
MPO-2024-057,석유화학제품운반선,싱가포르,북유럽 탱커스,21612,15930,영암 도크,2024-04-25,2024-08-23,2025-02-17,2025-04-28,2025-05-07,9,선주 요청 변경
MPO-2024-081,LNG운반선,독일,오션스타 해운,174838,420720,해남 협력야드,2024-05-05,2024-07-22,2025-03-23,2025-06-27,2025-06-27,0,
MPO-2024-053,자동차운반선,독일,대양 상선,19881,27390,목포 2야드,2024-05-11,2024-09-19,2025-02-22,2025-04-24,2025-04-27,3,설계 변경
MPO-2024-030,석유화학제품운반선,아랍에미리트,사우스케이프 마린,29429,24480,해남 협력야드,2024-05-12,2024-09-07,2025-02-02,2025-04-01,2025-04-15,14,기자재 납품 지연
MPO-2024-075,석유화학제품운반선,미국,북유럽 탱커스,37593,29790,영암 도크,2024-05-31,2024-10-06,2025-04-09,2025-06-20,2025-06-20,0,
MPO-2024-016,초대형원유운반선,독일,사우스케이프 마린,299412,378920,해남 협력야드,2024-06-04,2024-08-21,2025-05-19,2025-09-02,2025-09-21,19,기자재 납품 지연
MPO-2024-049,석유화학제품운반선,아랍에미리트,그린웨이브 마린,25467,22690,목포 2야드,2024-06-17,2024-10-24,2025-03-26,2025-05-25,2025-05-28,3,기상 악화
MPO-2024-103,석유화학제품운반선,그리스,대양 상선,25743,20000,영암 도크,2024-06-20,2024-08-25,2025-02-14,2025-04-23,2025-05-06,13,기자재 납품 지연
MPO-2024-071,석유화학제품운반선,중국,대양 상선,47365,38540,영암 도크,2024-06-23,2024-11-15,2025-04-30,2025-07-04,2025-07-13,9,선주 요청 변경
MPO-2024-119,LPG운반선,대한민국,퍼시픽 캐리어,48843,57270,해남 협력야드,2024-06-30,2024-11-02,2025-04-23,2025-06-29,2025-06-29,0,
MPO-2024-135,컨테이너선,그리스,한려 상선,12137,11480,해남 협력야드,2024-07-05,2024-11-20,2025-05-19,2025-07-28,2025-08-18,21,기상 악화
MPO-2024-118,석유화학제품운반선,대한민국,오션스타 해운,20675,15940,영암 도크,2024-07-07,2024-10-10,2025-03-19,2025-05-21,2025-05-29,8,품질 재작업
MPO-2024-059,컨테이너선,싱가포르,오션스타 해운,10795,10700,목포 2야드,2024-07-09,2024-10-02,2025-03-17,2025-05-21,2025-05-24,3,기자재 납품 지연
MPO-2024-033,초대형원유운반선,독일,한려 상선,319576,437050,목포 2야드,2024-07-12,2024-11-06,2025-08-23,2025-12-15,2025-12-26,11,기자재 납품 지연
MPO-2024-046,LPG운반선,그리스,북유럽 탱커스,82879,86440,목포 1야드,2024-08-04,2024-10-25,2025-04-12,2025-06-18,2025-07-14,26,기자재 납품 지연
MPO-2024-079,자동차운반선,덴마크,퍼시픽 캐리어,22961,25940,영암 도크,2024-08-04,2024-11-07,2025-05-15,2025-07-28,2025-08-07,10,선주 요청 변경
MPO-2024-062,벌크선,대한민국,한려 상선,72661,54940,목포 2야드,2024-08-11,2024-12-07,2025-06-21,2025-09-06,2025-09-06,0,
MPO-2024-125,초대형원유운반선,노르웨이,사우스케이프 마린,303046,466620,목포 2야드,2024-08-15,2025-01-10,2025-10-17,2026-02-04,2026-02-07,3,설계 변경
MPO-2024-050,자동차운반선,그리스,이스트게이트 쉬핑,25263,29120,해남 협력야드,2024-08-23,2024-11-28,2025-06-01,2025-08-12,2025-08-12,0,
MPO-2024-073,자동차운반선,싱가포르,사우스케이프 마린,28704,32230,목포 1야드,2024-08-27,2024-11-11,2025-04-18,2025-06-19,2025-06-19,0,
MPO-2024-087,자동차운반선,싱가포르,북유럽 탱커스,26681,34750,목포 2야드,2024-08-31,2025-01-15,2025-07-21,2025-10-02,2025-10-02,0,
MPO-2024-082,벌크선,싱가포르,사우스케이프 마린,71679,51810,목포 1야드,2024-09-11,2025-01-01,2025-06-30,2025-09-08,2025-09-08,0,
MPO-2024-006,벌크선,중국,블루앵커 해운,141464,92150,목포 1야드,2024-09-12,2024-11-20,2025-06-12,2025-08-31,2025-08-31,0,
MPO-2024-127,벌크선,그리스,오션스타 해운,145950,95690,목포 2야드,2024-09-16,2024-12-11,2025-07-26,2025-10-23,2025-10-23,0,
MPO-2024-040,석유화학제품운반선,싱가포르,북유럽 탱커스,15135,13010,목포 1야드,2024-09-21,2025-01-11,2025-06-09,2025-08-07,2025-08-13,6,선주 요청 변경
MPO-2024-074,LNG운반선,일본,사우스케이프 마린,151997,441090,목포 1야드,2024-09-24,2024-12-24,2025-08-17,2025-11-18,2025-11-18,0,
MPO-2024-003,컨테이너선,독일,오션스타 해운,17496,16040,영암 도크,2024-09-25,2024-12-28,2025-05-21,2025-07-17,2025-08-09,23,설계 변경
MPO-2024-038,벌크선,일본,그린웨이브 마린,145677,108260,영암 도크,2024-09-30,2025-02-16,2025-09-09,2025-11-29,2025-12-16,17,기자재 납품 지연
MPO-2024-021,자동차운반선,싱가포르,그린웨이브 마린,26481,35680,영암 도크,2024-10-03,2025-01-31,2025-08-08,2025-10-21,2025-10-22,1,기상 악화
MPO-2024-045,LNG운반선,싱가포르,노르드윈드 라인,161106,389290,영암 도크,2024-10-06,2024-12-27,2025-08-02,2025-10-26,2025-11-03,8,기자재 납품 지연
MPO-2024-089,LPG운반선,일본,이스트게이트 쉬핑,71116,83300,목포 2야드,2024-10-19,2024-12-31,2025-06-29,2025-09-08,2025-09-20,12,인력 수급 차질
MPO-2024-032,벌크선,싱가포르,사우스케이프 마린,92526,61150,목포 2야드,2024-10-20,2024-12-21,2025-07-01,2025-09-14,2025-09-14,0,
MPO-2024-035,자동차운반선,중국,사우스케이프 마린,20718,22460,목포 1야드,2024-10-22,2025-03-12,2025-09-13,2025-11-24,2025-11-25,1,설계 변경
MPO-2024-037,LNG운반선,그리스,이스트게이트 쉬핑,140856,384680,목포 2야드,2024-10-23,2025-01-15,2025-09-09,2025-12-11,2025-12-11,0,
MPO-2024-124,자동차운반선,싱가포르,노르드윈드 라인,22776,24940,목포 2야드,2024-10-28,2025-02-02,2025-07-02,2025-08-30,2025-09-14,15,설계 변경
MPO-2024-028,벌크선,미국,오션스타 해운,48608,39050,해남 협력야드,2024-10-30,2025-01-01,2025-06-13,2025-08-16,2025-09-05,20,기자재 납품 지연
MPO-2024-060,LPG운반선,아랍에미리트,한려 상선,78771,79890,목포 1야드,2024-10-30,2025-02-06,2025-07-30,2025-10-07,2025-10-07,0,
MPO-2024-086,컨테이너선,대한민국,북유럽 탱커스,16684,16960,해남 협력야드,2024-11-01,2025-02-25,2025-07-15,2025-09-08,2025-09-14,6,기자재 납품 지연
MPO-2024-067,석유화학제품운반선,아랍에미리트,퍼시픽 캐리어,16684,12810,해남 협력야드,2024-11-02,2025-03-21,2025-09-17,2025-11-26,2025-12-09,13,선주 요청 변경
MPO-2024-064,LNG운반선,대한민국,북유럽 탱커스,169680,451610,목포 1야드,2024-11-07,2025-03-22,2025-10-27,2026-01-21,2026-01-21,0,
MPO-2024-023,컨테이너선,중국,한려 상선,14618,12240,영암 도크,2024-11-08,2025-03-09,2025-08-28,2025-11-04,2025-11-17,13,기자재 납품 지연
MPO-2024-061,LNG운반선,미국,이스트게이트 쉬핑,168659,465010,영암 도크,2024-11-24,2025-02-10,2025-09-28,2025-12-27,2025-12-27,0,
MPO-2024-044,컨테이너선,싱가포르,오션스타 해운,12789,12920,영암 도크,2024-11-25,2025-01-27,2025-07-04,2025-09-04,2025-09-04,0,
MPO-2024-115,석유화학제품운반선,대한민국,대양 상선,23466,20020,목포 1야드,2024-11-28,2025-03-17,2025-08-20,2025-10-20,2025-10-20,0,
MPO-2024-024,컨테이너선,덴마크,북유럽 탱커스,14699,15000,해남 협력야드,2024-11-29,2025-04-10,2025-09-06,2025-11-04,2025-11-15,11,설계 변경
MPO-2024-020,벌크선,일본,북유럽 탱커스,137381,95980,해남 협력야드,2024-12-02,2025-03-19,2025-10-23,2026-01-16,2026-01-16,0,
MPO-2024-102,자동차운반선,독일,이스트게이트 쉬핑,30721,34210,해남 협력야드,2024-12-02,2025-03-28,2025-09-08,2025-11-11,2025-11-11,0,
MPO-2024-048,석유화학제품운반선,미국,그린웨이브 마린,24807,19640,목포 1야드,2024-12-09,2025-04-07,2025-10-05,2025-12-15,2025-12-15,0,
MPO-2024-005,컨테이너선,대한민국,이스트게이트 쉬핑,13271,12130,목포 1야드,2024-12-19,2025-04-22,2025-09-09,2025-11-03,2025-11-03,0,
MPO-2024-128,LPG운반선,일본,한려 상선,71229,71390,영암 도크,2024-12-29,2025-03-01,2025-09-25,2025-12-15,2025-12-30,15,기자재 납품 지연
MPO-2025-076,자동차운반선,중국,대양 상선,19584,21230,목포 1야드,2025-01-01,2025-03-28,2025-09-25,2025-12-05,2025-12-20,15,기자재 납품 지연
MPO-2025-096,벌크선,미국,블루앵커 해운,143931,114560,목포 1야드,2025-01-01,2025-04-19,2025-11-21,2026-02-14,2026-02-18,4,기자재 납품 지연
MPO-2025-101,석유화학제품운반선,중국,한려 상선,43639,34330,목포 1야드,2025-01-04,2025-04-24,2025-10-05,2025-12-08,2025-12-29,21,선주 요청 변경
MPO-2025-010,벌크선,노르웨이,이스트게이트 쉬핑,37368,28480,목포 2야드,2025-01-13,2025-05-25,2025-10-29,2025-12-30,2025-12-30,0,
MPO-2025-092,초대형원유운반선,독일,블루앵커 해운,304103,455460,목포 2야드,2025-01-17,2025-06-13,2026-04-12,2026-08-09,2026-08-23,14,품질 재작업
MPO-2025-068,석유화학제품운반선,일본,대양 상선,39191,28640,목포 2야드,2025-01-23,2025-06-22,2025-12-23,2026-03-05,2026-03-09,4,인력 수급 차질
MPO-2025-111,LPG운반선,미국,퍼시픽 캐리어,62619,77100,영암 도크,2025-02-02,2025-05-13,2025-10-24,2025-12-28,2026-01-06,9,기상 악화
MPO-2025-099,컨테이너선,독일,노르드윈드 라인,14988,12460,목포 1야드,2025-02-10,2025-05-25,2025-10-08,2025-12-01,2025-12-08,7,설계 변경
MPO-2025-138,벌크선,그리스,노르드윈드 라인,58509,37290,해남 협력야드,2025-02-11,2025-07-11,2025-12-17,2026-02-17,2026-02-17,0,
MPO-2025-126,LNG운반선,그리스,대양 상선,156593,389820,영암 도크,2025-02-13,2025-06-26,2026-03-02,2026-06-07,2026-06-25,18,기자재 납품 지연
MPO-2025-097,석유화학제품운반선,그리스,노르드윈드 라인,20532,16840,목포 1야드,2025-02-25,2025-06-23,2025-11-26,2026-01-26,2026-01-26,0,
MPO-2025-027,벌크선,그리스,퍼시픽 캐리어,38076,30150,목포 1야드,2025-03-01,2025-06-10,2025-11-22,2026-01-26,2026-01-26,0,
MPO-2025-117,벌크선,중국,그린웨이브 마린,165082,120420,목포 2야드,2025-03-04,2025-06-07,2026-01-15,2026-04-12,2026-05-06,24,기자재 납품 지연
MPO-2025-013,초대형원유운반선,일본,그린웨이브 마린,304963,478250,영암 도크,2025-03-07,2025-08-03,2026-04-28,2026-08-11,2026-08-16,5,품질 재작업
MPO-2025-132,자동차운반선,노르웨이,한려 상선,19718,23800,해남 협력야드,2025-03-09,2025-07-23,2025-12-11,2026-02-04,2026-02-04,0,
MPO-2025-136,초대형원유운반선,노르웨이,오션스타 해운,296254,385090,목포 2야드,2025-03-09,2025-08-04,2026-05-03,2026-08-17,2026-08-19,2,기상 악화
MPO-2025-066,석유화학제품운반선,중국,한려 상선,19754,17060,목포 2야드,2025-03-19,2025-07-25,2025-12-29,2026-03-01,2026-03-22,21,품질 재작업
MPO-2025-014,벌크선,일본,노르드윈드 라인,39769,30560,목포 2야드,2025-03-20,2025-06-03,2025-11-04,2026-01-03,2026-02-03,31,기자재 납품 지연
MPO-2025-034,LNG운반선,싱가포르,한려 상선,170457,451780,영암 도크,2025-04-08,2025-08-17,2026-03-26,2026-06-21,2026-06-21,0,
MPO-2025-015,벌크선,중국,오션스타 해운,161444,123930,목포 2야드,2025-04-16,2025-08-05,2026-03-11,2026-06-04,2026-06-04,0,
MPO-2025-084,벌크선,아랍에미리트,노르드윈드 라인,104502,80880,영암 도크,2025-04-19,2025-08-19,2026-02-24,2026-05-09,2026-05-09,0,
MPO-2025-112,초대형원유운반선,일본,오션스타 해운,313425,445630,영암 도크,2025-04-20,2025-08-13,2026-05-17,2026-09-03,,,
MPO-2025-088,초대형원유운반선,그리스,북유럽 탱커스,313524,404540,목포 2야드,2025-04-23,2025-07-06,2026-05-07,2026-09-03,,,
MPO-2025-098,석유화학제품운반선,덴마크,사우스케이프 마린,13614,9900,영암 도크,2025-04-27,2025-09-15,2026-03-08,2026-05-16,2026-06-11,26,기자재 납품 지연
