연월,건화물운임지수,컨테이너운임지수,유조선운임지수,벙커유가_달러per톤
2024-01,1738,2040,1152,600
2024-02,1723,2160,1096,591
2024-03,1835,2298,1102,696
2024-04,1861,2270,1090,656
2024-05,1896,2691,988,673
2024-06,1915,2519,1014,657
2024-07,1775,2510,1024,719
2024-08,1774,2362,1111,717
2024-09,1785,2518,1136,756
2024-10,1686,2670,1019,788
2024-11,1645,2400,811,839
2024-12,1466,2600,892,781
2025-01,1409,2765,886,760
2025-02,1269,2548,821,761
2025-03,1112,2548,698,787
2025-04,932,2943,600,732
2025-05,858,3131,600,739
2025-06,700,2987,610,743
2025-07,1005,3187,621,753
2025-08,972,3018,600,771
2025-09,858,3279,600,825
2025-10,1017,3454,616,824
2025-11,1351,3446,600,855
2025-12,1308,3962,600,856
2026-01,1088,3729,714,827
2026-02,912,3592,805,814
2026-03,700,3550,768,847
2026-04,707,3692,691,792
2026-05,700,3694,600,748
2026-06,700,3818,600,721
2026-07,819,3987,600,751
2026-08,1299,3919,663,709
